product_id,product_name,brand_name,category,crops,target_problems,active_ingredient,description,pack_size,price,mrp,stock,dosage,application_method,waiting_period_days,organic_certified,status
PROD-SHINVA-80ML,Shinva Insecticide 80ml IIL (शिनवा),Insecticides India (IIL),Insecticide,"Chilli, Brinjal, Cabbage, Tomato, Cotton","Thrips, Caterpillars, चुरडा-मुरडा, फुलकिडे, अळी",Fluxametamide 10% EC,80ml pack of Shinva for complete single acre coverage against thrips and borer complexes.,80 ml,980.0,1080.0,9,80 ml per acre,Foliar Spray,3,False,active
PROD-SOLOMON-250ML,Solomon Insecticide 250ml Bayer (सोलोमन),Bayer,Insecticide,"Cotton, Soybean, Chilli, Tomato, Brinjal","Aphids, Jassids, Whitefly, Thrips, Semilooper, मावा, तुडतुडे, पांढरी माशी, फुलकिडे, पाने खाणारी अळी",Beta-cyfluthrin 8.49% + Imidacloprid 19.81% OD,Bayer Solomon combines oil dispersion formulation for rapid systemic and contact knockdown of sucking pests and early caterpillars.,250 ml,580.0,650.0,44,200-250 ml per acre (1 ml/L water),Foliar Spray,15,False,active
PROD-SOLOMON-500ML,Solomon Insecticide 500ml Bayer (सोलोमन),Bayer,Insecticide,"Cotton, Soybean, Chilli, Tomato, Brinjal","Aphids, Jassids, Whitefly, Thrips, Semilooper, मावा, तुडतुडे, पांढरी माशी, फुलकिडे",Beta-cyfluthrin 8.49% + Imidacloprid 19.81% OD,500ml economy pack of Bayer Solomon for 2 acres treatment against mixed pest populations.,500 ml,1030.0,1150.0,21,250 ml per acre,Foliar Spray,15,False,active
PROD-SOLOMON-1LIT,Solomon Insecticide 1 Litre Bayer (सोलोमन),Bayer,Insecticide,"Cotton, Soybean, Chilli, Tomato, Brinjal","Aphids, Jassids, Whitefly, Thrips, Semilooper, मावा, तुडतुडे, पांढरी माशी",Beta-cyfluthrin 8.49% + Imidacloprid 19.81% OD,1 Litre bottle of Bayer Solomon for large farms.,1 Litre,1990.0,2200.0,7,250 ml per acre,Foliar Spray,15,False,active
PROD-ULALA-60GM,Ulala Insecticide 60gm UPL (उलाला),UPL,Insecticide,"Cotton, Chilli, Tomato, Paddy, Vegetables","Aphids, Jassids, Whitefly, Thrips, Plant Hoppers, मावा, तुडतुडे, पांढरी माशी, फुलकिडे",Flonicamid 50% WG,UPL Ulala is a specialized selective feeding blocker that stops sucking pests from damaging crops within 30 minutes.,60 gm,590.0,660.0,8,60 gm per acre (0.3-0.4 gm/L water),Foliar Spray,10,False,active
PROD-ULALA-150GM,Ulala Insecticide 150gm UPL (उलाला),UPL,Insecticide,"Cotton, Chilli, Tomato, Paddy, Vegetables","Aphids, Jassids, Whitefly, Thrips, मावा, तुडतुडे, पांढरी माशी, फुलकिडे",Flonicamid 50% WG,150gm pack of UPL Ulala for 2.5 acres control of tough whiteflies and sucking pests.,150 gm,1440.0,1600.0,3,60 gm per acre,Foliar Spray,10,False,active
PROD-ULALA-30GM,Ulala Insecticide 30gm UPL (उलाला),UPL,Insecticide,"Cotton, Chilli, Tomato, Vegetables","Aphids, Jassids, Whitefly, Thrips, मावा, तुडतुडे, पांढरी माशी",Flonicamid 50% WG,30gm trial pack of UPL Ulala for half-acre treatment against sucking pests.,30 gm,310.0,350.0,10,60 gm per acre,Foliar Spray,10,False,active
PROD-ALIKA-200ML,Alika Insecticide 200ml Syngenta (अलिका),Syngenta,Insecticide,"Cotton, Soybean, Groundnut, Tomato, Chilli","Aphids, Jassids, Semilooper, Whitefly, मावा, तुडतुडे, पाने खाणारी अळी, पांढरी माशी",Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC,Syngenta Alika provides dual action with quick knockdown and persistent systemic protection against both sucking pests and caterpillars.,200 ml,440.0,500.0,34,80-100 ml per acre (0.5 ml/L water),Foliar Spray,14,False,active
PROD-ALIKA-500ML,Alika Insecticide 500ml Syngenta (अलिका),Syngenta,Insecticide,"Cotton, Soybean, Groundnut, Tomato, Chilli","Aphids, Jassids, Semilooper, Whitefly, मावा, तुडतुडे, पाने खाणारी अळी",Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC,500ml bottle of Syngenta Alika covering over 5 acres.,500 ml,990.0,1100.0,23,80-100 ml per acre,Foliar Spray,14,False,active
PROD-ALIKA-80ML,Alika Insecticide 80ml Syngenta (अलिका),Syngenta,Insecticide,"Cotton, Soybean, Groundnut, Tomato, Chilli","Aphids, Jassids, Semilooper, Whitefly, मावा, तुडतुडे, पाने खाणारी अळी",Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC,80ml pack of Syngenta Alika for single acre foliar spray.,80 ml,200.0,230.0,8,80 ml per acre,Foliar Spray,14,False,active
PROD-AMPLIGO-100ML,Ampligo Insecticide 100ml Syngenta (अँप्लीगो),Syngenta,Insecticide,"Cotton, Soybean, Pigeon Pea, Chilli, Tomato","Pink Bollworm, American Bollworm, Semilooper, Pod Borer, बोंडअळी, शेंगा पोखरणाऱ्या अळ्या",Chlorantraniliprole 9.3% + Lambda-cyhalothrin 4.6% ZC,Syngenta Ampligo delivers fast knockdown and long-lasting ovicidal protection against bollworms and caterpillars in cotton and pulses.,100 ml,660.0,740.0,4,80-100 ml per acre (0.5 ml/L water),Foliar Spray,14,False,active
PROD-AMPLIGO-200ML,Ampligo Insecticide 200ml Syngenta (अँप्लीगो),Syngenta,Insecticide,"Cotton, Soybean, Pigeon Pea, Chilli, Tomato","Pink Bollworm, American Bollworm, Semilooper, Pod Borer, बोंडअळी, शेंगा पोखरणाऱ्या अळ्या",Chlorantraniliprole 9.3% + Lambda-cyhalothrin 4.6% ZC,200ml pack of Syngenta Ampligo covering 2 acres against pod borers and bollworms.,200 ml,1260.0,1400.0,1,80-100 ml per acre,Foliar Spray,14,False,active
PROD-PEGASUS-500GM,Pegasus Insecticide 500gm Syngenta (पेगासस),Syngenta,Insecticide,"Chilli, Cotton, Tomato, Brinjal, Onion","Thrips, Whitefly, Mites, चुरडा मुरडा, फुलकिडे, पांढरी माशी, लाल कोळी",Diafenthiuron 50% WP,"Syngenta Pegasus delivers vapor and translaminar action specifically targeting resistant thrips, whiteflies, and mites causing leaf curl.",500 gm,1580.0,1750.0,14,250 gm per acre (1.25 gm/L water),Foliar Spray,15,False,active
PROD-DELEGATE-100ML,Delegate Insecticide 100ml Corteva (डेलिगेट),Corteva (Dow),Insecticide,"Chilli, Cotton, Soybean, Tomato","Thrips, Fruit Borer, Spodoptera, चुरडा-मुरडा, फुलकिडे, फळ पोखरणारी अळी",Spinetoram 11.7% SC,Corteva Delegate delivers immediate knockdown of tough thrips and borers with green chemistry safety profile.,100 ml,1070.0,1200.0,14,100 ml per acre (0.9 ml/L water),Foliar Spray,3,False,active
PROD-DELEGATE-20ML,Delegate Insecticide 20ml Corteva (डेलिगेट),Corteva (Dow),Insecticide,"Chilli, Cotton, Soybean, Tomato","Thrips, Fruit Borer, चुरडा-मुरडा, फुलकिडे",Spinetoram 11.7% SC,20ml convenient pack of Corteva Delegate for small vegetable farms.,20 ml,280.0,320.0,10,1 ml per liter of water,Foliar Spray,3,False,active
PROD-DANTOTSU-100GM,Dantotsu Insecticide 100gm Sumitomo (दानतोत्सू),Sumitomo,Insecticide,"Cotton, Chilli, Paddy, Sugarcane, Vegetables","Aphids, Jassids, Whitefly, Stem Borer, Green Leafhopper, मावा, तुडतुडे, पांढरी माशी",Clothianidin 50% WDG,Sumitomo Dantotsu is a highly systemic neonicotinoid providing long duration control of sucking pest vectors at very low dosages.,100 gm,1140.0,1280.0,7,20-25 gm per acre (0.15 gm/L water),Foliar Spray,12,False,active
PROD-DANTOTSU-6GM,Dantotsu Insecticide 6gm Sumitomo (दानतोत्सू),Sumitomo,Insecticide,"Cotton, Chilli, Paddy, Vegetables","Aphids, Jassids, Whitefly, मावा, तुडतुडे, पांढरी माशी",Clothianidin 50% WDG,6gm pouch of Sumitomo Dantotsu for single pump spray.,6 gm,100.0,115.0,3,2 gm per 15L pump,Foliar Spray,12,False,active
PROD-LANCERGOLD-1KG,Lancer Gold Insecticide 1kg UPL (लान्सर गोल्ड),UPL,Insecticide,"Cotton, Soybean, Chilli, Tomato, Groundnut","Aphids, Jassids, Whitefly, Caterpillars, Leafminer, मावा, तुडतुडे, पांढरी माशी, पाने खाणारी अळी",Acephate 50% + Imidacloprid 1.8% SP,UPL Lancer Gold gives dual mode of action controlling both chewing foliage pests and sucking insects simultaneously at low cost.,1 kg,780.0,880.0,8,400-500 gm per acre (2 gm/L water),Foliar Spray,15,False,active
PROD-LANCERGOLD-500GM,Lancer Gold Insecticide 500gm UPL (लान्सर गोल्ड),UPL,Insecticide,"Cotton, Soybean, Chilli, Tomato, Groundnut","Aphids, Jassids, Whitefly, Caterpillars, मावा, तुडतुडे, पांढरी माशी",Acephate 50% + Imidacloprid 1.8% SP,500gm pack of UPL Lancer Gold for single acre foliar treatment.,500 gm,420.0,470.0,2,400-500 gm per acre,Foliar Spray,15,False,active
PROD-LANCERGOLD-250GM,Lancer Gold Insecticide 250gm UPL (लान्सर गोल्ड),UPL,Insecticide,"Cotton, Soybean, Chilli, Tomato","Aphids, Jassids, Whitefly, Caterpillars, मावा, तुडतुडे",Acephate 50% + Imidacloprid 1.8% SP,250gm pack of UPL Lancer Gold for half acre spray.,250 gm,240.0,270.0,16,2 gm per liter of water,Foliar Spray,15,False,active
PROD-PROFEXSUPER-1LIT,Profex Super Insecticide 1 Litre Nagarjuna (प्रोफेक्स सुपर),Nagarjuna,Insecticide,"Cotton, Soybean, Chilli, Tomato, Gram","Bollworm, Spodoptera, Semilooper, Thrips, Aphids, बोंडअळी, लष्करी अळी, मावा, फुलकिडे",Profenofos 40% + Cypermethrin 4% EC,Nagarjuna Profex Super is a trusted contact and stomach insecticide with ovicidal action against tough caterpillar complexes.,1 Litre,670.0,750.0,40,400-500 ml per acre (2 ml/L water),Foliar Spray,14,False,active
PROD-PROFEXSUPER-500ML,Profex Super Insecticide 500ml Nagarjuna (प्रोफेक्स सुपर),Nagarjuna,Insecticide,"Cotton, Soybean, Chilli, Tomato, Gram","Bollworm, Spodoptera, Semilooper, Thrips, बोंडअळी, लष्करी अळी",Profenofos 40% + Cypermethrin 4% EC,500ml bottle of Profex Super for 1 acre spraying.,500 ml,370.0,420.0,26,400-500 ml per acre,Foliar Spray,14,False,active
PROD-PROFEXSUPER-250ML,Profex Super Insecticide 250ml Nagarjuna (प्रोफेक्स सुपर),Nagarjuna,Insecticide,"Cotton, Soybean, Chilli, Tomato","Bollworm, Spodoptera, Semilooper, Thrips, बोंडअळी, लष्करी अळी",Profenofos 40% + Cypermethrin 4% EC,250ml bottle of Profex Super.,250 ml,200.0,230.0,49,2 ml per liter of water,Foliar Spray,14,False,active
PROD-RONFEN-250ML,Ronfen Insecticide 250ml Agrol (रॉनफेन),Agrol,Insecticide,"Cotton, Chilli, Tomato, Vegetables","Whitefly, Thrips, Jassids, Aphids, पांढरी माशी, फुलकिडे, तुडतुडे, मावा",Pyriproxyfen 8% + Dinotefuran 5% + Diafenthiuron WDG,"Agrol Ronfen delivers complete multi-stage whitefly control affecting eggs, nymphs, and adult flies in cotton and chilli.",250 ml,660.0,750.0,79,200-250 ml per acre (1.25 ml/L water),Foliar Spray,10,False,active
PROD-RONFEN-500ML,Ronfen Insecticide 500ml Agrol (रॉनफेन),Agrol,Insecticide,"Cotton, Chilli, Tomato, Vegetables","Whitefly, Thrips, Jassids, Aphids, पांढरी माशी, फुलकिडे, तुडतुडे",Pyriproxyfen 8% + Dinotefuran 5% + Diafenthiuron,500ml bottle of Agrol Ronfen for 2 acres coverage.,500 ml,1280.0,1420.0,20,250 ml per acre,Foliar Spray,10,False,active
PROD-VAMOS-30ML,Vamos Insecticide 30ml Sulphur Mills (व्वामोस),Sulphur Mills,Insecticide,"Cotton, Soybean, Sugarcane, Tomato, Chilli, Gram","Bollworm, Spodoptera, Stem Borer, Fruit Borer, बोंडअळी, लष्करी अळी, खोडकिडा",Chlorantraniliprole 18.5% SC,Sulphur Mills Vamos gives affordable and effective control of bollworms and chewing caterpillars.,30 ml,160.0,190.0,189,0.4 ml per liter of water,Foliar Spray,7,False,active
PROD-VAMOS-60ML,Vamos Insecticide 60ml Sulphur Mills (व्वामोस),Sulphur Mills,Insecticide,"Cotton, Soybean, Sugarcane, Tomato, Chilli, Gram","Bollworm, Spodoptera, Stem Borer, Fruit Borer, बोंडअळी, लष्करी अळी",Chlorantraniliprole 18.5% SC,60ml pack of Vamos covering 1 acre against caterpillars.,60 ml,250.0,300.0,80,60 ml per acre,Foliar Spray,7,False,active
PROD-VAMOS-150ML,Vamos Insecticide 150ml Sulphur Mills (व्वामोस),Sulphur Mills,Insecticide,"Cotton, Soybean, Sugarcane, Tomato, Chilli, Gram","Bollworm, Spodoptera, Stem Borer, Fruit Borer, बोंडअळी, लष्करी अळी",Chlorantraniliprole 18.5% SC,150ml economy pack of Sulphur Mills Vamos for 2.5 acres.,150 ml,500.0,580.0,22,60 ml per acre,Foliar Spray,7,False,active
PROD-OBERON-100ML,Oberon Insecticide 100ml Bayer (ओबेरॉन),Bayer,Insecticide,"Chilli, Tomato, Cotton, Brinjal, Tea","Mites, Whitefly, Red Spider Mite, लाल कोळी, पांढरी माशी, चुरडा-मुरडा",Spiromesifen 22.9% SC,Bayer Oberon is a world-renowned lipid biosynthesis inhibitor providing knockdown of all mite stages and whitefly nymphs.,100 ml,580.0,650.0,4,100-150 ml per acre (0.8-1 ml/L water),Foliar Spray,5,False,active
PROD-OBERON-200ML,Oberon Insecticide 200ml Bayer (ओबेरॉन),Bayer,Insecticide,"Chilli, Tomato, Cotton, Brinjal, Tea","Mites, Whitefly, Red Spider Mite, लाल कोळी, पांढरी माशी",Spiromesifen 22.9% SC,200ml bottle of Bayer Oberon for severe mite attacks.,200 ml,1140.0,1280.0,2,100-150 ml per acre,Foliar Spray,5,False,active
PROD-LIPTOR-100GM,Liptor Insecticide 100gm Astir (लिप्टर),Astir,Insecticide,"Cotton, Soybean, Gram, Pigeon Pea, Vegetables","Bollworm, Pod Borer, Fruit Borer, Spodoptera, बोंडअळी, घाटे अळी, फळ पोखरणारी अळी",Emamectin Benzoate 5% SG,Astir Liptor is a water-soluble granular insecticide derived from naturally occurring avermectin for quick caterpillar elimination.,100 gm,220.0,260.0,60,80-100 gm per acre (0.5 gm/L water),Foliar Spray,5,False,active
PROD-LIPTOR-250GM,Liptor Insecticide 250gm Astir (लिप्टर),Astir,Insecticide,"Cotton, Soybean, Gram, Pigeon Pea, Vegetables","Bollworm, Pod Borer, Fruit Borer, Spodoptera, बोंडअळी, घाटे अळी",Emamectin Benzoate 5% SG,250gm pack of Liptor Emamectin Benzoate 5% SG.,250 gm,490.0,560.0,50,80-100 gm per acre,Foliar Spray,5,False,active
PROD-NEO-100ML,Neo Insecticide 100ml Astir (निओ),Astir,Insecticide,"Cotton, Chilli, Tomato, Soybean, Citrus","Aphids, Jassids, Whitefly, Thrips, मावा, तुडतुडे, पांढरी माशी, फुलकिडे",Imidacloprid 17.8% SL,Astir Neo provides budget-friendly systemic protection against sap-sucking insect pests.,100 ml,130.0,160.0,14,50-100 ml per acre (0.5 ml/L water),Foliar Spray,21,False,active
PROD-NEO-250ML,Neo Insecticide 250ml Astir (निओ),Astir,Insecticide,"Cotton, Chilli, Tomato, Soybean, Citrus","Aphids, Jassids, Whitefly, Thrips, मावा, तुडतुडे, पांढरी माशी",Imidacloprid 17.8% SL,250ml bottle of Imidacloprid 17.8% SL.,250 ml,290.0,340.0,10,50-100 ml per acre,Foliar Spray,21,False,active
PROD-NICO-100GM,Nico Insecticide 100gm Astir (निको),Astir,Insecticide,"Cotton, Chilli, Tomato, Vegetables","Aphids, Jassids, Whitefly, मावा, तुडतुडे, पांढरी माशी",Acetamiprid 20% SP,Astir Nico is a quick acting systemic insecticide controlling sucking insect vectors.,100 gm,130.0,155.0,53,50-100 gm per acre (0.5 gm/L water),Foliar Spray,15,False,active
PROD-AMISTARTOP-500ML,Amistar Top Fungicide 500ml Syngenta (अमस्टार टॉप),Syngenta,Fungicide,"Soybean, Cotton, Tomato, Chilli, Onion, Rice","Anthracnose, Leaf Spot, Powdery Mildew, Rust, Blight, करपा, तांबेरा, भुरी, पानांवरील ठिपके",Azoxystrobin 18.2% + Difenoconazole 11.4% SC,Syngenta Amistar Top gives broad-spectrum curative and preventive disease control while enhancing crop greening and health.,500 ml,2050.0,2300.0,1,200 ml per acre (1 ml/L water),Foliar Spray,10,False,active
PROD-AZAXINPLUS-100ML,Azaxin Plus Fungicide 100ml Astir (अझाक्सिन प्लस),Astir,Fungicide,"Soybean, Cotton, Tomato, Chilli, Onion, Rice","Anthracnose, Leaf Spot, Powdery Mildew, Rust, Blight, करपा, तांबेरा, भुरी",Azoxystrobin 18.2% + Difenoconazole 11.4% SC,Astir Azaxin Plus delivers identical strobilurin + triazole dual protection against leaf spots and rust at attractive pricing.,100 ml,220.0,260.0,45,200 ml per acre (1 ml/L water),Foliar Spray,10,False,active
PROD-AZAXINPLUS-200ML,Azaxin Plus Fungicide 200ml Astir (अझाक्सिन प्लस),Astir,Fungicide,"Soybean, Cotton, Tomato, Chilli, Onion, Rice","Anthracnose, Leaf Spot, Powdery Mildew, Rust, Blight, करपा, तांबेरा, भुरी",Azoxystrobin 18.2% + Difenoconazole 11.4% SC,200ml bottle of Azaxin Plus for 1 acre full disease protection.,200 ml,520.0,590.0,62,200 ml per acre,Foliar Spray,10,False,active
PROD-AZAXINPLUS-500ML,Azaxin Plus Fungicide 500ml Astir (अझाक्सिन प्लस),Astir,Fungicide,"Soybean, Cotton, Tomato, Chilli, Onion, Rice","Anthracnose, Leaf Spot, Powdery Mildew, Rust, Blight, करपा, तांबेरा, भुरी",Azoxystrobin 18.2% + Difenoconazole 11.4% SC,500ml bottle of Azaxin Plus for 2.5 acres.,500 ml,980.0,1100.0,37,200 ml per acre,Foliar Spray,10,False,active
PROD-NATIVO-100GM,Nativo Fungicide 100gm Bayer (नेटिव्हो),Bayer,Fungicide,"Tomato, Chilli, Paddy, Soybean, Pomegranate, Groundnut","Early Blight, Late Blight, Sheath Blight, Powdery Mildew, Rust, करपा, भुरी, तांबेरा, शेंगावरील काळे डाग",Tebuconazole 50% + Trifloxystrobin 25% WG,Bayer Nativo provides premium systemic broad-spectrum disease management with excellent rainfastness and quality enhancement.,100 gm,720.0,810.0,38,100-120 gm per acre (0.5 gm/L water),Foliar Spray,10,False,active
PROD-NATIVO-50GM,Nativo Fungicide 50gm Bayer (नेटिव्हो),Bayer,Fungicide,"Tomato, Chilli, Paddy, Soybean, Pomegranate","Early Blight, Late Blight, Sheath Blight, Powdery Mildew, करपा, भुरी",Tebuconazole 50% + Trifloxystrobin 25% WG,50gm pack of Bayer Nativo for half-acre treatment.,50 gm,430.0,480.0,8,100 gm per acre,Foliar Spray,10,False,active
PROD-SAAF-500GM,Saaf Fungicide 500gm UPL (साफ),UPL,Fungicide,"Cotton, Soybean, Chilli, Tomato, Groundnut, Gram","Anthracnose, Damping Off, Leaf Spot, Fruit Rot, Blast, करपा, मुळकूज, शेंगावरील काळे डाग",Carbendazim 12% + Mancozeb 63% WP,UPL Saaf is India's most trusted dual-action contact and systemic fungicide for seed treatment and foliar disease prevention.,500 gm,340.0,390.0,34,400-500 gm per acre (2 gm/L water),Foliar Spray / Seed Treatment,15,False,active
PROD-SAAF-250GM,Saaf Fungicide 250gm UPL (साफ),UPL,Fungicide,"Cotton, Soybean, Chilli, Tomato, Groundnut, Gram","Anthracnose, Damping Off, Leaf Spot, Fruit Rot, करपा, मुळकूज",Carbendazim 12% + Mancozeb 63% WP,250gm pack of UPL Saaf.,250 gm,200.0,230.0,15,2 gm per liter of water,Foliar Spray / Seed Treatment,15,False,active
PROD-SAAF-1KG,Saaf Fungicide 1kg UPL (साफ),UPL,Fungicide,"Cotton, Soybean, Chilli, Tomato, Groundnut, Gram","Anthracnose, Damping Off, Leaf Spot, Fruit Rot, Blast, करपा, मुळकूज",Carbendazim 12% + Mancozeb 63% WP,1kg economy pack of UPL Saaf.,1 kg,620.0,700.0,14,400-500 gm per acre,Foliar Spray / Seed Treatment,15,False,active
PROD-SCORE-100ML,Score Fungicide 100ml Syngenta (स्कोर),Syngenta,Fungicide,"Chilli, Tomato, Onion, Pomegranate, Soybean","Dieback, Anthracnose, Purple Blotch, Leaf Spot, फळकुज, करपा, जांभळा करपा",Difenoconazole 25% EC,"Syngenta Score provides curative systemic translaminar control against complex fungal spots, dieback, and purple blotch in onion and vegetables.",100 ml,450.0,510.0,6,100-150 ml per acre (0.5-0.8 ml/L water),Foliar Spray,7,False,active
PROD-SCORE-250ML,Score Fungicide 250ml Syngenta (स्कोर),Syngenta,Fungicide,"Chilli, Tomato, Onion, Pomegranate, Soybean","Dieback, Anthracnose, Purple Blotch, Leaf Spot, फळकुज, करपा",Difenoconazole 25% EC,250ml bottle of Syngenta Score.,250 ml,1050.0,1180.0,1,100-150 ml per acre,Foliar Spray,7,False,active
PROD-RIDOMILGOLD-1KG,Ridomil Gold Fungicide 1kg Syngenta (रिडोमिल गोल्ड),Syngenta,Fungicide,"Tomato, Potato, Grapes, Mustard, Vegetables","Late Blight, Downy Mildew, Damping Off, करपा, केवडा, मुळकूज",Metalaxyl-M 4% + Mancozeb 64% WP,Syngenta Ridomil Gold is the benchmark systemic fungicide for downy mildew and oomycete water-mould infections.,1 kg,1320.0,1480.0,31,500 gm to 1 kg per acre (2.5 gm/L water),Foliar Spray / Drenching,14,False,active
PROD-BLUECOPPER-500GM,Blue Copper Fungicide 500gm Crystal (ब्लू कॉपर),Crystal,Fungicide,"Tomato, Chilli, Pomegranate, Citrus, Paddy, Vegetables","Bacterial Blight, Canker, Leaf Spot, Damping Off, तेल्या रोग, करपा, जिवाणूजन्य ठिपके",Copper Oxychloride 50% WP,Crystal Blue Copper provides broad-spectrum bactericidal and fungicidal contact protection against blights and bacterial spots.,500 gm,470.0,530.0,23,500 gm per acre (2.5 gm/L water),Foliar Spray,7,False,active
PROD-STREPTOCYCLINE-6GM,Streptocycline 6gm Hindustan Antibiotics (स्ट्रेप्टोसायक्लिन),Hindustan Antibiotics,Fungicide,"Pomegranate, Tomato, Chilli, Cotton, Paddy, Citrus","Bacterial Blight, Black Arm, Bacterial Canker, तेल्या, काळा करपा, जिवाणू रोग",Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10% SP,"Proven agricultural bactericide for treating destructive bacterial spot, canker, and black arm diseases.",6 gm,40.0,50.0,150,6 gm per 50-60L water (with Copper Oxychloride),Foliar Spray,10,False,active
